country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Colombia,353,810,0.43580246913580245,0.83071553228621287,,0.11343804537521815,0.0034904013961605585,0.026178010471204188,0.0017452006980802793,0.0017452006980802793,0.0017452006980802793,,0.0017452006980802793,0.019197207678883072,,,,
Ukraine,10,23,0.43478260869565216,1.0,,,,,,,,,,,,,,
Ireland,17,41,0.41463414634146339,0.9285714285714286,,,,,0.035714285714285712,0.035714285714285712,,,,,,,,
South Sudan,35,85,0.41176470588235292,0.85365853658536583,,0.073170731707317069,,0.04878048780487805,,,,,,0.024390243902439025,,,,
Croatia,2,5,0.4,1.0,,,,,,,,,,,,,,
Zimbabwe,86,221,0.38914027149321267,0.82089552238805974,,0.037313432835820892,,0.044776119402985072,0.052238805970149252,0.014925373134328358,0.014925373134328358,,,0.014925373134328358,,,,
Spain,210,543,0.38674033149171272,0.86206896551724133,,0.041379310344827586,0.0045977011494252873,0.011494252873563218,0.0091954022988505746,0.0068965517241379309,,,,0.0045977011494252873,,,,0.059770114942528735
Canada,866,2262,0.3828470380194518,0.45685122177544074,,0.52489947417259508,0.0015465511908444171,0.00030931023816888341,0.0030931023816888341,0.0012372409526755336,0.00061862047633776682,,,0.010207237859573151,,,,0.0012372409526755336
Japan,121,321,0.37694704049844235,0.69516728624535318,,0.26394052044609667,,0.0037174721189591076,0.0074349442379182153,,,,,0.026022304832713755,,,,0.0037174721189591076
Yemen,56,151,0.37086092715231789,1.0,,,,,,,,,,,,,,
Madagascar,17,46,0.36956521739130432,0.96153846153846156,,0.038461538461538464,,,,,,,,,,,,
Guatemala,35,95,0.36842105263157893,0.95081967213114749,,0.049180327868852458,,,,,,,,,,,,
United States,3618,9912,0.36501210653753025,0.93502044424798325,,0.045198364460161344,0.0011050944855785169,0.0029837551110619958,0.0050834346336611777,0.0017681511769256271,0.00099458503702066527,,0.00022101889711570338,0.0046413968394297712,,,,0.0029837551110619958
Hungary,4,11,0.36363636363636365,0.875,,0.125,,,,,,,,,,,,
Nigeria,138,387,0.35658914728682173,0.83464566929133854,,0.12992125984251968,0.015748031496062992,0.015748031496062992,,,,,,0.003937007874015748,,,,
Australia,679,2030,0.33448275862068966,0.85391140433553248,,0.055607917059377947,0.0084825636192271438,0.057492931196983975,0.013195098963242224,0.001885014137606032,0.000942507068803016,,,0.007540056550424128,,,,0.000942507068803016
Iceland,2,6,0.33333333333333331,1.0,,,,,,,,,,,,,,
Cape Verde,1,3,0.33333333333333331,1.0,,,,,,,,,,,,,,
Benin,1,3,0.33333333333333331,1.0,,,,,,,,,,,,,,
Poland,40,125,0.32,0.828125,,0.109375,0.03125,,0.015625,,,,,0.015625,,,,
Portugal,6,24,0.25,0.66666666666666663,,,,,0.1111111111111111,0.1111111111111111,,,,0.1111111111111111,,,,
Slovakia,3,12,0.25,0.93333333333333335,,0.066666666666666666,,,,,,,,,,,,
