country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Slovenia,6685,10000,0.6685,0.90009024107257962,,0.02307593141678484,0.0035451849941987882,0.003158437540286193,0.035065102488075289,0.016178935155343559,0.01153796570839242,,0.00032228954492716255,0.0050921748098491683,6.44579089854325e-05,,,0.0018692793605775428
Gibraltar,1791,2684,0.66728763040238448,0.846183800623053,,0.10942367601246106,0.000778816199376947,0.011292834890965732,0.016355140186915886,0.0038940809968847352,0.0011682242990654205,,0.00038940809968847351,0.00661993769470405,,,,0.0038940809968847352
Lithuania,6642,10000,0.6642,0.846015370767846,,0.062521636779062528,0.0020771307900020772,0.0014539915530014541,0.043273558125043271,0.012670497819012671,0.00997022779200997,,0.0011078030880011078,0.0087931870110087938,,,,0.012116596275012116
Germany,6634,10000,0.6634,0.89684269741930944,,0.031713662892904858,0.0018986006609943043,0.00021095562899936713,0.038604880106884183,0.014485619857956543,0.011321285422966036,,0.00077350397299767954,0.0020392377469938823,0.00014063708599957808,0.00021095562899936713,,0.0017579635749947261
Greece,6567,10000,0.6567,0.92822097037979279,,0.021533708886062149,0.000999454842813011,0.00563329093221879,0.022351444666545522,0.0074504815555151739,0.0052698528075595134,,0.00081773578048337269,0.0025440668726149371,9.0859531164819192e-05,,,0.0050881337452298742
Colombia,6557,10000,0.6557,0.93139810426540282,,0.033293838862559239,0.0011848341232227489,0.012796208530805687,0.0030805687203791471,0.00082938388625592417,0.0011848341232227489,,0.00047393364928909954,0.01457345971563981,,,,0.0011848341232227489
Chile,6502,10000,0.6502,0.90924354071448554,,0.03022106146814663,0.0021453222647141125,0.010446786680346983,0.020427198955321333,0.0098871373938998232,0.0086745639399309765,0.000746199048596213,0.0013991232161178993,0.0051301184590989649,,,,0.0016789478593414793
Venezuela,6474,10000,0.6474,0.91004571852217964,,0.035092054862226614,0.00037069072037563324,0.025083405412084519,0.0034597800568392438,0.0021005807487952553,0.001482762881502533,,0.0023477078957123438,0.01593970097615223,,,,0.0040775979241319659
Tuvalu,22,34,0.6470588235294118,0.81818181818181823,,0.090909090909090912,,,0.045454545454545456,,,,,0.022727272727272728,0.022727272727272728,,,
Singapore,6339,10000,0.6339,0.9303437126590286,,0.022105855064314332,0.00098404442257679051,0.00028115554930765449,0.020946088423420259,0.010191888662402475,0.0086806775848738311,0.00017572221831728405,0.0017923666268362972,0.0020383777324804947,0.001440922190201729,0.00066774442960567933,,0.00035144443663456809
Faroe Islands,3969,6316,0.62840405319822668,0.94733529164918173,,0.0079731430969366343,0.02790600083927822,0.0073436844313890057,0.0029374737725556023,0.001258917331095258,0.001258917331095258,,,0.0035669324381032313,,,,0.000419639110365086
Cyprus,6262,10000,0.6262,0.83809088833066914,,0.07053868209383167,0.00050747253304914868,0.00078658242622618051,0.0038821648778259877,0.0017254066123671057,0.0013701758392327015,,,0.079546319555454062,2.5373626652457436e-05,,,0.0035269341046915838
Guam,5481,8779,0.62433078938375675,0.95843841420357112,,0.024109754867345911,0.00040351054171290223,0.0027236961565620904,0.0048421265005548272,0.0023201856148491878,0.0016140421668516089,0.00020175527085645111,,0.0042368606879854736,,,,0.0011096539897104813
San Marino,1258,2020,0.62277227722772277,0.90127388535031849,,0.020018198362147407,0.0018198362147406734,0.0018198362147406734,0.028662420382165606,0.020473157415832575,0.010919017288444041,,,0.013193812556869881,,,,0.0018198362147406734
Luxembourg,6111,10000,0.6111,0.79251108296390116,,0.12492083597213426,0.0013457884737175427,0.0044331855604813177,0.026994933502216593,0.01044965167827739,0.0074414186193793542,0.00094996833438885367,0.00039582013932868906,0.00094996833438885367,,7.916402786573781e-05,,0.029528182393920202
Brunei,1603,2635,0.608349146110057,0.94793835901707624,,0.00090648504299679054,0.0014944753411568709,0.00022049636181003014,0.0011269814048068206,0.00026949555332337016,0.00026949555332337016,,4.8999191513340027e-05,0.046965725065536416,,,,0.00075948746845677043
Sweden,6073,10000,0.6073,0.93342245989304817,,0.0285204991087344,0.0036541889483065952,0.0023172905525846704,0.016844919786096257,0.0063279857397504453,0.00730837789661319,,0.00017825311942959,0.00089126559714795,8.9126559714795e-05,,,0.000445632798573975
Mexico,6042,10000,0.6042,0.93942265175920658,,0.013454614364222095,0.0010738424609942519,0.0053060451013833615,0.0030951929758069609,0.0009475080538184574,0.00088434085023056028,0.00031583601793948584,0.00044217042511528014,0.034868296380519234,,,,0.00018950161076369148
Mali,6022,10000,0.6022,0.90817285110380463,,0.084859871614216376,0.00015656802880851731,0.00054798810082981055,0.0026616564897447943,0.0010959762016596211,0.00093940817285110385,,0.00046970408642555192,0.0010176921872553624,,,,7.8284014404258654e-05
Ethiopia,5278,8787,0.60066006600660071,0.77214644651830577,,0.042833213687485043,0.011007418042593921,0.01507537688442211,0.14544149318018665,0.002871500358937545,0.0022014836085187846,0.00062215841110313476,0.0024407753050969131,0.0039243838238813113,0.00071787508973438624,0.00062215841110313476,,9.57166786312515e-05
New Caledonia,5987,10000,0.5987,0.958097656700912,,0.012351379429758743,0.0011543345261456771,0.0079649082304051721,0.0068105737042594948,0.0035784370310515986,0.0026549694101350571,,0.00046173381045827079,0.0055408057254992494,,,,0.0013852014313748124
Finland,5969,10000,0.5969,0.792629233027124,,0.056150459314018589,0.040604446377126707,0.00043485350872424851,0.037560471816056963,0.0183725607435995,0.015165516116758168,0.000760993640267435,0.0032070446268413328,0.02353644615969995,0.00054356688590531069,0.00054356688590531069,,0.010490840897972496
Taiwan,5916,10000,0.5916,0.94673868453439081,,0.015110077943388487,0.0028032271297689045,0.0058115684397648023,0.0078627102420347327,0.0031450840968138931,0.0033501982770408863,0.00013674278681799536,0.0079994530288527276,0.0027348557363599071,6.837139340899768e-05,0.00013674278681799536,,0.0041022836045398609
Cameroon,5903,10000,0.5903,0.88756613756613756,,0.042195767195767196,0.0033068783068783067,0.024206349206349207,0.017328042328042328,0.00873015873015873,0.0074074074074074077,0.0010582010582010583,0.0018518518518518519,0.006084656084656085,,0.00013227513227513228,,0.00013227513227513228
Tunisia,5824,10000,0.5824,0.98064324002382375,,0.0023823704586063135,0.00059559261465157837,0.00014889815366289459,0.011614055985705777,0.0019356759976176295,0.0016378796902918405,,,0.0010422870756402621,,,,
Portugal,5820,10000,0.582,0.90066422127490831,,0.017745613165460493,0.0016853375632001587,0.0022801625855060968,0.035292951323485672,0.016952513135719244,0.01457321304649549,,0.000495687518588282,0.0067413502528006347,,,,0.00356895013383563
Russia,5769,10000,0.5769,0.85273668041070416,,0.059988681380871531,0.0028700784218611045,0.00056593095642331638,0.036745088527771037,0.018352332444013259,0.015158864904195974,4.04236397445226e-05,0.0034764330180289435,0.0032338911795618077,0.00028296547821165819,0.00024254183846713557,,0.0063060878001455255
Malaysia,5759,10000,0.5759,0.90051318818157811,,0.01748990604128146,0.00039621146371835028,0.0012452360288291008,0.0099241538055167729,0.0044903965888079692,0.0037545752990453189,0.00011320327534810007,0.030715822044451151,0.025866948417040868,1.886721255801668e-05,,,0.0054714916418248365
Fiji,5753,10000,0.5753,0.94749613942201627,,0.033642179572027357,0.00033090668431502316,0.0046326935804103242,0.0068387381425104787,0.0022060445621001545,0.0014339289653651005,0.00011030222810500772,0.00011030222810500772,0.0026472534745201853,,0.00011030222810500772,,0.00044120891242003087
Micronesia,570,996,0.572289156626506,0.97714285714285709,,0.015238095238095238,,,0.0038095238095238095,0.00095238095238095238,0.00095238095238095238,,,0.0019047619047619048,,,,
Uzbekistan,5702,10000,0.5702,0.76447296559257238,,0.053932277444019662,0.0021845985800109228,0.0018204988166757691,0.032222829055161113,0.01633897687966503,0.013517203713817587,9.1024940833788455e-05,0.0014563990533406153,0.10476970689969052,0.00031858729291825958,0.00040961223375204805,,0.0084653194975423274
India,5679,10000,0.5679,0.88149281645838651,,0.040125818243645327,0.014027033919918388,0.0060358752019042759,0.02915922808807277,0.009521380600187028,0.0099464422341239474,,0.00076511094108645751,0.0076511094108645756,0.000510073960724305,0.00017002465357476835,,0.00059508628751168925
Vatican,98,175,0.56,0.9145299145299145,,0.0085470085470085479,,,0.05128205128205128,0.0085470085470085479,0.0085470085470085479,,,0.0085470085470085479,,,,
Peru,5575,10000,0.5575,0.9489417536653546,,0.017228592617947402,0.00039933823948884705,0.011010325745906784,0.0067317017513834222,0.0034228991956186889,0.0031376575959837982,5.7048319926978152e-05,0.0007986764789776941,0.0053625420731359457,0.0001140966398539563,,,0.0027953676764219293
Puerto Rico,5559,10000,0.5559,0.93071212537805881,,0.035468792961231788,0.0013747594171020072,0.010723123453395655,0.0071487489689304375,0.0030244707176244156,0.0034368985427550179,,0.00027495188342040145,0.006598845202089634,,0.00013747594171020073,,0.0010998075336816058
Austria,5523,10000,0.5523,0.938983900269373,,0.014784188435757689,0.0018793459875963165,0.0024431497838752116,0.022301572386142957,0.009146150472968741,0.0074547390841320556,,0.00050115893002568442,0.0020046357201027377,,6.2644866253210553e-05,,0.00043851406377247383
Brazil,5494,10000,0.5494,0.83932243219426217,,0.10819543718789777,0.0023499461470674631,0.0214432585919906,0.0095956134338588076,0.0046019778713404487,0.0038186624889846275,,0.0015666307647116419,0.00822481151473612,0.00039165769117791049,,,0.00048957211397238814
Martinique,5439,10000,0.5439,0.98483455882352944,,0.0030637254901960784,0.00061274509803921568,0.0039828431372549017,0.0007659313725490196,0.00045955882352941176,0.00015318627450980392,,0.00015318627450980392,0.0049019607843137254,,,,0.0010723039215686275
Australia,5431,10000,0.5431,0.70386130811662728,,0.023561859732072497,0.0013396375098502758,0.22513790386130811,0.023877068557919622,0.010717100078802206,0.007801418439716312,,0.00039401103230890468,0.0024428684003152089,0.00015760441292356187,,,0.00070921985815602842
Iran,5367,10000,0.5367,0.90423781698530659,,0.028252113235377546,0.0013615476258013275,0.0070346627333068585,0.021671299710671131,0.0092471776252340161,0.0086798661144834623,0.00096442956827594035,0.0015884722301015488,0.010551994099960289,0.0017019345322516594,0.00022692460430022126,,0.00448176093492937
Sierra Leone,2100,3913,0.53667262969588547,0.93998234774933809,,0.023830538393645191,,0.020005884083553988,0.0085319211532803758,0.00353045013239188,0.0032362459546925568,,0.0002942041776993233,0.00058840835539864661,,,,
